Report Type,Value
Date,"Thursday, 2025-09-11"
Total Matches Analyzed,9
High-Value Bets Recommended,6

Rank,Kick Off,League,Country,Home Team,Away Team,Bet Type,Odds,Stake %,Edge %,Confidence %,Quality Score
#1,17:00,UEFA Champions League Women,World,Brann W,Manchester United W,Over 1.5 Goals,2.22,8.0%,54.9%,69.8%,0.842
#2,17:30,UEFA Champions League Women,World,St. Pölten W,Fortuna Hjørring,Home Team Over 1.5 Goals,3.05,8.0%,91.6%,62.9%,0.779
#3,18:30,UEFA Champions League Women,World,Roma W,Sporting CP W,Over 9.5 Total Corners,2.66,8.0%,67.4%,62.9%,0.717
#4,17:00,UEFA Champions League Women,World,Paris FC W,Austria Wien W,Over 9.5 Total Corners,1.99,8.0%,46.1%,73.5%,0.630
#5,17:30,UEFA Champions League Women,World,Vorskla Poltava W,OH Leuven W,Over 1.5 Goals,1.91,8.0%,38.3%,72.3%,0.514
#6,17:00,UEFA Champions League Women,World,Häcken,Atletico Madrid W,Over 9.5 Total Corners,1.98,8.0%,27.9%,64.7%,0.283

Summary Metric,Value
Total Portfolio Edge,326.1%
Average Confidence,67.7%
Total Bankroll Risk,48.0%

Market Category,Number of Bets
Goals,3 bets
Corners,3 bets
